"","source","target","weight"
"1","arroz","agua",1
"2","arroz","alimento",2
"3","arroz","amarillo",3
"4","arroz","blanco",15
"5","arroz","cafee",3
"6","arroz","caldo",1
"7","arroz","caliente",2
"8","arroz","carne",5
"9","arroz","casa",1
"10","arroz","cena",1
"11","arroz","ceviche",1
"12","arroz","cocina",2
"13","arroz","cocinar",2
"14","arroz","comer",3
"15","arroz","comida",24
"16","arroz","delicioso",3
"17","arroz","espagueti",1
"18","arroz","faacil",1
"19","arroz","familia",1
"20","arroz","frijol",17
"21","arroz","frito",1
"22","arroz","gandul",2
"23","arroz","grano",4
"24","arroz","habichuela",1
"25","arroz","hambre",1
"26","arroz","huevo",1
"27","arroz","jasmine",1
"28","arroz","jitomate",1
"29","arroz","lado",2
"30","arroz","leche",8
"31","arroz","lenteja",1
"32","arroz","mexicano",1
"33","arroz","mole",2
"34","arroz","nutricioon",1
"35","arroz","pinto",1
"36","arroz","planta",1
"37","arroz","plato",3
"38","arroz","pollo",9
"39","arroz","rico",5
"40","arroz","rojo",3
"41","arroz","sabroso",1
"42","arroz","salsa",1
"43","arroz","sano",1
"44","arroz","suave",1
"45","arroz","tomate",1
"46","arroz","tortilla",2
"47","arroz","uunico",1
"48","arroz","vegetal",1
"49","bebida","agua",25
"50","bebida","alcohol",3
"51","bebida","alcohoolico",2
"52","bebida","amargo",1
"53","bebida","amigo",1
"54","bebida","antojo",1
"55","bebida","azuucar",1
"56","bebida","beber",1
"57","bebida","berber",1
"58","bebida","borracho",2
"59","bebida","botella",1
"60","bebida","bueno",1
"61","bebida","cafee",4
"62","bebida","cerveza",9
"63","bebida","chocolate",1
"64","bebida","coca",4
"65","bebida","comer",1
"66","bebida","comida",1
"67","bebida","delicioso",1
"68","bebida","diversioon",1
"69","bebida","dona",1
"70","bebida","dulce",2
"71","bebida","fiesta",2
"72","bebida","fresco",2
"73","bebida","friio",4
"74","bebida","frillo",1
"75","bebida","helado",1
"76","bebida","hidratante",1
"77","bebida","hielo",1
"78","bebida","jugo",11
"79","bebida","leche",4
"80","bebida","liiquido",1
"81","bebida","limonada",1
"82","bebida","loco",1
"83","bebida","mar",1
"84","bebida","mareado",1
"85","bebida","mezcla",1
"86","bebida","paja",1
"87","bebida","popote",1
"88","bebida","refrescante",1
"89","bebida","refresco",7
"90","bebida","restaurant",1
"91","bebida","rico",1
"92","bebida","ron",1
"93","bebida","sabroso",2
"94","bebida","sed",2
"95","bebida","soda",14
"96","bebida","sol",1
"97","bebida","taza",1
"98","bebida","tee",1
"99","bebida","tequila",1
"100","bebida","tomar",7
"101","bebida","trago",4
"102","bebida","vaso",2
"103","bebida","vino",1
"104","borracho","adicto",1
"105","borracho","agresioon",1
"106","borracho","alcohol",11
"107","borracho","alcohoolico",4
"108","borracho","bar",1
"109","borracho","bebedor",1
"110","borracho","bebida",6
"111","borracho","bebido",2
"112","borracho","beodo",1
"113","borracho","bolo",1
"114","borracho","borrachera",1
"115","borracho","bravo",1
"116","borracho","cabroon",1
"117","borracho","caer",1
"118","borracho","calle",1
"119","borracho","cantina",1
"120","borracho","carro",1
"121","borracho","cerveza",23
"122","borracho","ciego",1
"123","borracho","crapuloso",2
"124","borracho","decepcioon",1
"125","borracho","derrochador",1
"126","borracho","dificultoso",1
"127","borracho","discutir",1
"128","borracho","ebrio",4
"129","borracho","egosita",1
"130","borracho","embriagado",1
"131","borracho","enfermo",1
"132","borracho","estuupido",3
"133","borracho","feliz",1
"134","borracho","fiesta",7
"135","borracho","flojo",1
"136","borracho","fuerte",1
"137","borracho","gordo",1
"138","borracho","grifo",1
"139","borracho","hombre",3
"140","borracho","incoomodo",1
"141","borracho","intoxicado",1
"142","borracho","loco",1
"143","borracho","loteriia",2
"144","borracho","malestar",1
"145","borracho","malo",2
"146","borracho","mamado",1
"147","borracho","mareado",2
"148","borracho","molestar",1
"149","borracho","noche",1
"150","borracho","oler",1
"151","borracho","olor",1
"152","borracho","papa",1
"153","borracho","pedo",1
"154","borracho","pelea",1
"155","borracho","peligroso",1
"156","borracho","pobre",1
"157","borracho","sombrero",1
"158","borracho","sonrisa",1
"159","borracho","sucio",2
"160","borracho","taberna",1
"161","borracho","tequila",5
"162","borracho","tequilero",1
"163","borracho","tiio",1
"164","borracho","tiipico",1
"165","borracho","tomado",1
"166","borracho","tomar",2
"167","borracho","tonto",2
"168","borracho","torpe",2
"169","borracho","triste",2
"170","borracho","vagabundo",1
"171","borracho","vehiiculo",1
"172","borracho","verguuenza",1
"173","borracho","vino",5
"174","borracho","violencia",1
"175","borracho","vodka",1
"176","borracho","voomito",1
"177","caamara","aangulo",1
"178","caamara","abertura",1
"179","caamara","accioon",1
"180","caamara","adal ramones",1
"181","caamara","amigo",1
"182","caamara","arte",2
"183","caamara","blanco",1
"184","caamara","boda",1
"185","caamara","borrar",1
"186","caamara","caro",1
"187","caamara","celular",1
"188","caamara","chale",1
"189","caamara","cine",1
"190","caamara","comedia",1
"191","caamara","comida",1
"192","caamara","comprar",1
"193","caamara","computadora",1
"194","caamara","costoso",1
"195","caamara","cuadro",1
"196","caamara","despacho",1
"197","caamara","digital",2
"198","caamara","editar",1
"199","caamara","estilo",1
"200","caamara","estudiar",1
"201","caamara","familia",1
"202","caamara","flash",3
"203","caamara","foto",31
"204","caamara","fotograafico",3
"205","caamara","fotografiia",6
"206","caamara","fotoografo",3
"207","caamara","friio",1
"208","caamara","gandul",1
"209","caamara","gente",1
"210","caamara","grabar",1
"211","caamara","grupo",1
"212","caamara","hombre",1
"213","caamara","imagen",2
"214","caamara","imprimir",1
"215","caamara","lente",1
"216","caamara","luz",3
"217","caamara","maaquina fotograafica",2
"218","caamara","memoria",7
"219","caamara","modelo",1
"220","caamara","momento",1
"221","caamara","naturaleza",1
"222","caamara","negro",1
"223","caamara","ooptica",1
