Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp126,Male,22,Yes,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA,agua,agua,1,liquido,liquido,liiquido,unclear,NA,NA,NA,A,r2_sp_a1,water,Span
sp127,Female,32,Yes,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years,agua,agua,1,sed,sed,sed,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp129,Female,22,Yes,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,,agua,agua,1,hidratacion,hidratacion,hidratacioon,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp130,Female,33,Yes,"english, Spanish, French ",Spanish,"Spanish, english","Spanish, english",Yes,all through school,12,Yes,Yes,US,agua,agua,1,tomar,tomar,tomar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp131,Female,23,Yes,english and spanish,spanish and english,spanish and english,spanish and english,Yes,high school,4 years,Yes,No,,agua,agua,1,oceano,oceano,oceeano,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp132,Male,18,Yes,"English, Spanish",Spanish,English and Spanish,English and Spanish ,Yes,middle school and high school ,7,Yes,No,,agua,agua,1,Sed,sed,sed,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp133,Male,25,Yes,English Spanish,2,,,Yes,high school,8,Yes,Yes,Canada 6 months,agua,agua,1,refresco,refresco,refresco,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp134,Female,21,Yes,spanish and english,spanish,english,english,No,,,Yes,No,,agua,agua,1,nadar,nadar,nadar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp135,Female,20,Yes,"English, Spanish",spanish,"English, Spanish","English, Spanish",No,,,No,No,,agua,agua,1,fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp136,Male,33,Yes,spanish english ,spanish,spanish,english,No,,,No,Yes,us,agua,agua,1,vida,vida,vida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp137,Female,19,Yes,English and Spanish,spanish,Spanish and english,Spanish and english,Yes,Elementary,2 years,Yes,No,,agua,agua,1,lago,lago,lago,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp138,Female,32,Yes,"English, Spanish",Spanish,"English, Spanish","English,Spanish",Yes,Primary through high school,12,No,No,,agua,agua,1,Fresca,fresco,fresco,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp139,Female,26,Yes,English and Spanish,Spanish,Spanish,English and Spanish,No,,,Yes,Yes,Live in the United States,agua,agua,1,Mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp140,Female,21,Yes,English and Spanish,Spanish,Spanish and english,Spanish and english,Yes,Middle school through College,8 years,No,No,,agua,agua,1,Mar,mar,mar,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp141,Female,26,Yes,English and Spanish,Spanish and English,"English primarily, but also Spanish","English primarily, but also Spanish",Yes,All throughout school,13 years,Yes,Yes,"USA, I live here",agua,agua,1,playa,playa,playa,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp142,Female,26,Yes,"Spanish, English","Spanish, English","Spanish, English","Spanish, English",No,,,Yes,Yes,US,agua,agua,1,azul ,azul,azul,adjective,NA,NA,NA,A,r2_sp_a1,water,Span
sp143,Female,26,Yes,Spanish and English,spanish,spanish and english,spanish and english,Yes,elementary,2 years,No,Yes,Canada 3 months,agua,agua,1,lluvia,lluvia,lluvia,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp144,Male,18,Yes,English and spanish,English and Spanish,English,English,Yes,Every year,12 years,Yes,Yes,United States for most of my life,agua,agua,1,jugo,jugo,jugo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp145,Female,32,Yes,English and Spanish ,Spanish ,Spanish and english,Spanish and English ,Yes,High school,6- but it was more like English writing not ESOL classes ,Yes,No,,agua,agua,1,set ,sed,sed,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp146,Female,20,Yes,Spanish and English ,Spanish,Spanish and English,Spanish and English,Yes,high school,4 years,No,No,,agua,agua,1,leche,leche,leche,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp147,Female,21,Yes,"English, some spanish","spanish, english",english,english,Yes,"high school, middle school, college",9 years,Yes,No,,agua,agua,1,nadar,nadar,nadar,verb,NA,NA,NA,A,r2_sp_a1,water,Span
sp148,Female,18,Yes,English and Spanish,spanish ,spanish,spanish,Yes,"middle school, high school",8 years (all throughout school),No,Yes,Canada - 3 days,agua,agua,1,bebida,bebida,bebida,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp149,Male,26,Yes,"english, spanish",spanish,"english, spanish","english, spanish",Yes,im from the US...all my school was in english,18 years,No,No,,agua,agua,1,vaso,vaso,vaso,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp101,Male,19,Yes,"Primarily spanish at home, English everywhere else. ",Spanish and English,Spanish and English,Spanish and English,Yes,All schoolwork,13,Yes,Yes,"United States, I live here. ",agua,agua,2,hielo,hielo,hielo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
sp102,Female,23,Yes,english and spanish ,both ,both,both ,No,,,Yes,Yes,america ,agua,agua,2,hielo ,hielo,hielo,noun,NA,NA,NA,A,r2_sp_a1,water,Span
