"","source","target","weight"
"1","agua","alberca",1
"2","agua","azul",3
"3","agua","bannar",2
"4","agua","banno",1
"5","agua","beber",6
"6","agua","bebida",6
"7","agua","bolsa",1
"8","agua","botella",5
"9","agua","cafee",1
"10","agua","caliente",2
"11","agua","claro",3
"12","agua","comida",1
"13","agua","divertido",1
"14","agua","ducha",1
"15","agua","fresco",9
"16","agua","frio",7
"17","agua","hidratacioon",1
"18","agua","hidratar",1
"19","agua","hielo",4
"20","agua","huumedo",1
"21","agua","jamaica",1
"22","agua","jugo",2
"23","agua","lago",7
"24","agua","lavar",1
"25","agua","leche",2
"26","agua","liiquido",2
"27","agua","limpiar",1
"28","agua","limpio",1
"29","agua","lluvia",4
"30","agua","mar",8
"31","agua","mojado",1
"32","agua","nadar",2
"33","agua","oceeano",5
"34","agua","pez",1
"35","agua","piscina",3
"36","agua","playa",5
"37","agua","potable",1
"38","agua","refrescante",5
"39","agua","refresco",1
"40","agua","rico",1
"41","agua","riio",4
"42","agua","saludable",2
"43","agua","sed",6
"44","agua","soda",1
"45","agua","sol",1
"46","agua","tibio",1
"47","agua","tomado",1
"48","agua","tomar",7
"49","agua","vacacioon",1
"50","agua","vaso",4
"51","agua","vida",2
"52","alcohol","adictivo",1
"53","alcohol","alcohol",1
"54","alcohol","alcohoolico",4
"55","alcohol","algodoon",1
"56","alcohol","amigo",4
"57","alcohol","antro",1
"58","alcohol","ardiente",1
"59","alcohol","bailar",2
"60","alcohol","bar",3
"61","alcohol","beber",4
"62","alcohol","bebida",7
"63","alcohol","blanco",1
"64","alcohol","borrachera",1
"65","alcohol","borracho",14
"66","alcohol","botella",2
"67","alcohol","brazo",1
"68","alcohol","cabeza",1
"69","alcohol","cerveza",11
"70","alcohol","comer",1
"71","alcohol","cruda",1
"72","alcohol","destructivo",1
"73","alcohol","divertido",1
"74","alcohol","doler",1
"75","alcohol","don julio",1
"76","alcohol","drink",3
"77","alcohol","drunk",3
"78","alcohol","ebrio",2
"79","alcohol","emborrachar",1
"80","alcohol","enfermo",1
"81","alcohol","espirita",1
"82","alcohol","fiesta",11
"83","alcohol","friio",1
"84","alcohol","fuerte",1
"85","alcohol","gin",1
"86","alcohol","hediondo",1
"87","alcohol","hielo",1
"88","alcohol","humo",1
"89","alcohol","licor",1
"90","alcohol","liiquido",1
"91","alcohol","mal",1
"92","alcohol","malo",3
"93","alcohol","margarita",1
"94","alcohol","mezcal",1
"95","alcohol","moonshine",1
"96","alcohol","obesidad",1
"97","alcohol","padre",1
"98","alcohol","party",4
"99","alcohol","peda",1
"100","alcohol","pierna",1
"101","alcohol","playa",1
"102","alcohol","poco",1
"103","alcohol","ron",1
"104","alcohol","sanar",1
"105","alcohol","sangriia",1
"106","alcohol","shot",1
"107","alcohol","sustancia",1
"108","alcohol","tequila",7
"109","alcohol","tirita",1
"110","alcohol","tomar",2
"111","alcohol","tonic",1
"112","alcohol","trabajo",1
"113","alcohol","trago",1
"114","alcohol","veneno",1
"115","alcohol","vicio",1
"116","alcohol","vino",2
"117","alcohol","vodka",5
"118","alcohol","whiskey",2
"119","arena","afuera",1
"120","arena","agua",7
"121","arena","amarillo",1
"122","arena","batalla",1
"123","arena","blanco",2
"124","arena","cafee",1
"125","arena","caliente",1
"126","arena","calor",3
"127","arena","cangrejo",1
"128","arena","caracol",1
"129","arena","carro",1
"130","arena","castillo",1
"131","arena","coco",1
"132","arena","comezoon",1
"133","arena","concha",3
"134","arena","deporte",2
"135","arena","desierto",3
"136","arena","diversioon",1
"137","arena","eagles",1
"138","arena","espectaaculo",1
"139","arena","estadio",1
"140","arena","evento",1
"141","arena","fannatico",1
"142","arena","fuutbol",3
"143","arena","gente",1
"144","arena","grano",2
"145","arena","its always sunny in philadelphia",1
"146","arena","juego",3
"147","arena","jugar",3
"148","arena","mar",9
"149","arena","material",1
"150","arena","nadar",1
"151","arena","ninno",2
"152","arena","oceeano",2
"153","arena","pegajoso",1
"154","arena","pelota",1
"155","arena","pescado",2
"156","arena","piedra",2
"157","arena","playa",36
"158","arena","polvo",2
"159","arena","roca",2
"160","arena","sal",1
"161","arena","sandalia",1
"162","arena","sol",10
"163","arena","suave",1
"164","arena","textura",1
"165","arena","tierra",2
"166","arena","tortuga",1
"167","arena","trabajo",1
"168","arena","valle",1
"169","arena","verano",3
"170","arena","vidrio",1
"171","arena","viento",1
"172","arena","vooleibol",1
"173","arena","zapato",1
"174","banco","ahorro",2
"175","banco","alto",1
"176","banco","banquero",1
"177","banco","cajero",2
"178","banco","cajero automaatico",1
"179","banco","cheque",6
"180","banco","chiquito",1
"181","banco","choro",1
"182","banco","cliente",1
"183","banco","coomodo",1
"184","banco","creedito",4
"185","banco","cuenta",4
"186","banco","deebito",2
"187","banco","depoosito",5
"188","banco","depositar",2
"189","banco","deuda",1
"190","banco","dinero",45
"191","banco","dolor",1
"192","banco","domingo",1
"193","banco","edificio",1
"194","banco","efectivo",2
"195","banco","estafa",2
"196","banco","fila",1
"197","banco","financia",2
"198","banco","fraude",1
"199","banco","gente",1
"200","banco","gobierno",1
"201","banco","grande",1
"202","banco","guardia",1
"203","banco","institucioon",1
"204","banco","interees",1
"205","banco","interesar",1
"206","banco","inversioon",1
"207","banco","liinea",1
"208","banco","metal",1
"209","banco","moneda",1
"210","banco","narco",1
"211","banco","negocio",1
"212","banco","oro",1
"213","banco","pagar",1
"214","banco","parque",2
"215","banco","persona",2
"216","banco","peso",1
"217","banco","plata",2
"218","banco","plaza",1
"219","banco","preestamo",9
"220","banco","puerta",1
"221","banco","retiro",1
"222","banco","salvar",1
"223","banco","seguridad",2
"224","banco","seguro",1
"225","banco","sentar",2
"226","banco","silla",2
"227","banco","sorana",1
"228","banco","tarjeta",2
"229","banco","trabajo",4
"230","banco","transferencia",1
"231","banco","verde",1
"232","carro","aseguranza",1
"233","carro","asiento",2
"234","carro","auto",6
"235","carro","autobuus",2
"236","carro","automoovil",4
"237","carro","avioon",2
"238","carro","azul",1
"239","carro","bicicleta",1
"240","carro","calle",2
"241","carro","camino",1
"242","carro","carcacha",1
"243","carro","caro",2
"244","carro","carretera",3
"245","carro","chiquito",2
"246","carro","coche",11
"247","carro","conducir",1
"248","carro","coomodo",1
"249","carro","dinero",5
"250","carro","eleectrico",1
"251","carro","estacionamiento",1
"252","carro","ferrari",1
"253","carro","gas",2
"254","carro","gasolina",11
"255","carro","gasolinera",1
"256","carro","grande",1
"257","carro","licencia",2
"258","carro","llanta",7
"259","carro","llave",1
"260","carro","lujo",1
"261","carro","manejar",6
"262","carro","moovil",1
"263","carro","moto",1
"264","carro","motor",2
"265","carro","necesario",1
"266","carro","nuevo",1
"267","carro","pequenno",1
"268","carro","puerta",3
"269","carro","raapido",4
"270","carro","rojo",5
"271","carro","rueda",3
"272","carro","silla",2
"273","carro","suv",1
"274","carro","tapete",1
"275","carro","timoon",1
"276","carro","trabajo",2
"277","carro","transportar",1
"278","carro","transporte",2
"279","carro","tren",1
"280","carro","troca",3
"281","carro","uutil",1
"282","carro","vehiiculo",4
"283","carro","velocidad",2
"284","carro","ventana",2
"285","carro","viajar",5
"286","carro","viaje",7
"287","carro","volante",1
"288","casa","albergue",1
"289","casa","amor",1
"290","casa","apartamento",3
"291","casa","banno",2
"292","casa","bien",1
"293","casa","caalido",1
"294","casa","cama",7
"295","casa","caro",2
"296","casa","carpeta",1
"297","casa","carro",3
"298","casa","casuela",1
"299","casa","choza",1
"300","casa","ciudad",1
"301","casa","cocina",1
"302","casa","comer",1
"303","casa","comida",5
"304","casa","cuarto",3
"305","casa","descansar",1
"306","casa","deuda",1
"307","casa","dinero",1
"308","casa","domicilio",1
"309","casa","dormir",4
"310","casa","dormitorio",1
"311","casa","edificio",3
"312","casa","escuela",2
"313","casa","familia",30
"314","casa","felicidad",1
"315","casa","grande",2
"316","casa","habitacioon",1
"317","casa","hogar",20
"318","casa","hotel",1
"319","casa","inversioon",1
"320","casa","jardiin",1
"321","casa","kid",1
"322","casa","lavanderiia",1
"323","casa","limpieza",1
"324","casa","llave",1
"325","casa","mamaa",3
"326","casa","mesa",2
"327","casa","mueble",1
"328","casa","padre",1
"329","casa","papa",1
"330","casa","patio",1
"331","casa","perro",3
"332","casa","privado",1
"333","casa","puerta",3
"334","casa","relajar",2
"335","casa","renta",1
"336","casa","rentar",1
"337","casa","residencia",1
"338","casa","sala",1
"339","casa","salvo",1
"340","casa","seguridad",2
"341","casa","seguro",1
"342","casa","techo",4
"343","casa","tele",2
"344","casa","ventana",1
"345","casa","visita",1
"346","casa","yarda",1
"347","comida","abuelita",1
"348","comida","abundante",1
"349","comida","aguacate",1
"350","comida","almuerzo",3
"351","comida","anticucho",1
"352","comida","arroz",8
"353","comida","bebida",2
"354","comida","bocadillo",1
"355","comida","burrito",1
"356","comida","buscar",1
"357","comida","caldo",1
"358","comida","caliente",3
"359","comida","carne",7
"360","comida","casero",1
"361","comida","cena",4
"362","comida","chef",1
"363","comida","cilantro",1
"364","comida","coche",1
"365","comida","cocina",4
"366","comida","cocinar",1
"367","comida","comer",7
"368","comida","compra",1
"369","comida","consumir",1
"370","comida","cuchara",3
"371","comida","cuchillo",1
"372","comida","delicioso",6
"373","comida","desayuno",5
"374","comida","dinero",3
"375","comida","dormir",1
"376","comida","dulce",1
"377","comida","empanada",1
"378","comida","enchilada",3
"379","comida","familia",2
"380","comida","felicidad",1
"381","comida","fresa",1
"382","comida","frijol",4
"383","comida","fruta",2
"384","comida","gastronomiia",1
"385","comida","hambre",6
"386","comida","hamburguesa",1
"387","comida","huevo",1
"388","comida","lleno",1
"389","comida","lonche",1
"390","comida","manzana",2
"391","comida","palto",1
"392","comida","pan",1
"393","comida","papa",1
"394","comida","pescado",1
"395","comida","peso",1
"396","comida","picante",1
"397","comida","picaroon",1
"398","comida","picoso",1
"399","comida","pizza",3
"400","comida","plaatano",1
"401","comida","plato",4
"402","comida","pollo",5
"403","comida","postre",1
"404","comida","raapido",2
"405","comida","refresco",1
"406","comida","restaurante",2
"407","comida","rico",2
"408","comida","sope",1
"409","comida","sostener",1
"410","comida","sostenimiento",1
"411","comida","sushi",1
"412","comida","sustento",1
"413","comida","taco",4
"414","comida","tenedor",2
"415","comida","torta",1
"416","comida","verdura",1
"417","deporte","actividad",2
"418","deporte","amigo",1
"419","deporte","arena",1
"420","deporte","atleetico",2
"421","deporte","atleta",1
"422","deporte","baasquetbol",4
"423","deporte","baloncesto",4
"424","deporte","basquet",1
"425","deporte","beeisbol",3
"426","deporte","bote",1
