"","source","target","weight"
"224","barato","falso",2
"225","barato","feo",1
"226","barato","ganga",1
"227","barato","gratuito",1
"228","barato","insulto",1
"229","barato","inteligente",1
"230","barato","mal",1
"231","barato","malo",1
"232","barato","menos",2
"233","barato","papel",1
"234","barato","persona",1
"235","barato","pobre",2
"236","barato","pobreza",1
"237","barato","precio",1
"238","barato","rebaja",2
"239","barato","recuerdo",1
"240","barato","restaurant",1
"241","barato","ropa",7
"242","barato","tienda",7
"243","barato","vendedor",1
"244","barato","venta",5
"245","barato","viejo",1
"246","barrer","asear",1
"247","barrer","aspiradora",2
"248","barrer","aspirar",1
"249","barrer","bandera",1
"250","barrer","banno",1
"251","barrer","barato",1
"252","barrer","basura",2
"253","barrer","buscar",1
"254","barrer","casa",3
"255","barrer","cocinar",1
"256","barrer","comer",1
"257","barrer","correr",1
"258","barrer","deshacer",1
"259","barrer","desordenado",1
"260","barrer","ducha",1
"261","barrer","escoba",6
"262","barrer","escobar",1
"263","barrer","fregar",1
"264","barrer","fresco",1
"265","barrer","lavar",4
"266","barrer","limpiar",13
"267","barrer","limpio",9
"268","barrer","madera",1
"269","barrer","madre",1
"270","barrer","ordenado",1
"271","barrer","pasar",1
"272","barrer","piso",3
"273","barrer","plato",1
"274","barrer","polvo",3
"275","barrer","primavera",1
"276","barrer","quitar",1
"277","barrer","sala",1
"278","barrer","seco",1
"279","barrer","sucio",5
"280","barrer","suelo",7
"281","barrer","tarea",1
"282","barrer","tierra",2
"283","barrer","trabajar",2
"284","barrer","trabajo",2
"285","basura","aarbol",1
"286","basura","agua",1
"287","basura","barato",1
"288","basura","basura",1
"289","basura","bolsa",2
"290","basura","bote",1
"291","basura","bruto",1
"292","basura","casa",1
"293","basura","chatarra",1
"294","basura","cocina",2
"295","basura","cocinar",1
"296","basura","comida",10
"297","basura","contaminacioon",2
"298","basura","cosa",1
"299","basura","cubo",1
"300","basura","desagradable",1
"301","basura","desecho",1
"302","basura","desperdicio",1
"303","basura","detestar",1
"304","basura","enfermo",1
"305","basura","expirado",1
"306","basura","falta",1
"307","basura","flavoriso",1
"308","basura","hacer",1
"309","basura","importar",1
"310","basura","lanzar",1
"311","basura","lata",3
"312","basura","limpiar",2
"313","basura","limpio",1
"314","basura","lleno",1
"315","basura","mal",2
"316","basura","maloliente",1
"317","basura","nariz",1
"318","basura","negro",1
"319","basura","olor",4
"320","basura","papel",2
"321","basura","peligroso",1
"322","basura","reciclar",5
"323","basura","residuar",1
"324","basura","residuo",1
"325","basura","sacar",8
"326","basura","sucio",7
"327","basura","tarea",1
"328","basura","tener",1
"329","basura","tirar",1
"330","basura","trabajo",1
"331","basura","trasto",1
"332","basura","usado",1
"333","basura","vaciio",1
"334","basura","vertido",1
"335","basura","viejo",1
"336","calor","aarbol",1
"337","calor","agosto",1
"338","calor","agua",3
"339","calor","amarillo",1
"340","calor","arena",1
"341","calor","blanco",1
"342","calor","buen",1
"343","calor","cafee",1
"344","calor","caliente",6
"345","calor","cocina",1
"346","calor","comida",2
"347","calor","divertido",1
"348","calor","domingo",1
"349","calor","ejercicio",1
"350","calor","esfuerzo",1
"351","calor","fiebre",1
"352","calor","filtro",1
"353","calor","friio",1
"354","calor","hacer",2
"355","calor","horno",2
"356","calor","huevo",1
"357","calor","huumedo",1
"358","calor","jugador",1
"359","calor","julio",1
"360","calor","mosquito",1
"361","calor","mucho",1
"362","calor","naturaleza",1
"363","calor","neutral",1
"364","calor","ninna",1
"365","calor","oceeano",1
"366","calor","olor",1
"367","calor","pastel",1
"368","calor","piscina",1
"369","calor","planta",1
"370","calor","playa",9
"371","calor","primavera",2
"372","calor","protector",1
"373","calor","rojo",2
"374","calor","seco",1
"375","calor","sol",18
"376","calor","soleado",2
"377","calor","sudor",1
"378","calor","sudoroso",1
"379","calor","te",1
"380","calor","tiempo",1
"381","calor","vacacioon",1
"382","calor","verano",10
"383","calor","verde",1
"384","calor","viento",1
"385","cama","acostar",2
"386","cama","almohada",10
"387","cama","bienestar",1
"388","cama","blando",1
"389","cama","calor",1
"390","cama","camisa",1
"391","cama","camiseta",1
"392","cama","cansado",1
"393","cama","casa",6
"394","cama","como",1
"395","cama","compannero",1
"396","cama","coomodo",2
"397","cama","cuadro",1
"398","cama","cuarto",3
"399","cama","descansar",1
"400","cama","despertar",1
"401","cama","dormir",15
"402","cama","dormitorio",6
"403","cama","estas",1
"404","cama","habitacioon",5
"405","cama","hacer",3
"406","cama","hoja",5
"407","cama","jean",1
"408","cama","laampara",1
"409","cama","lavar",2
"410","cama","limpiar",2
"411","cama","manta",5
"412","cama","maquillaje",1
"413","cama","noche",1
"414","cama","ocho",1
"415","cama","ojo",1
"416","cama","ropa",1
"417","cama","saabana",3
"418","cama","siesta",1
"419","cama","sofaa",2
"420","cama","ventana",1
"421","cama","vestido",1
"422","cama","vestidor",1
"423","camisa","algodoon",1
"424","camisa","armario",1
"425","camisa","azul",1
"426","camisa","blanco",1
"427","camisa","blusa",2
"428","camisa","cabjo",1
"429","camisa","calcetiin",2
"430","camisa","camiseta",16
"431","camisa","chaqueta",1
"432","camisa","chico",1
"433","camisa","color",1
"434","camisa","comprar",2
"435","camisa","coomodo",2
"436","camisa","corbata",1
"437","camisa","corto",1
"438","camisa","cubrir",1
"439","camisa","deporte",1
"440","camisa","dinero",1
"441","camisa","estrecho",1
"442","camisa","falda",1
"443","camisa","graafico",1
"444","camisa","pantaloon",15
"445","camisa","pijama",1
"446","camisa","primavera",1
"447","camisa","rebaja",1
"448","camisa","rojo",2
"449","camisa","ropa",17
"450","camisa","suedo",1
"451","camisa","sueeter",1
"452","camisa","tamano",1
"453","camisa","tienda",4
"454","camisa","verano",2
"455","camisa","vestir",3
"456","camisa","zapato",5
"457","camiseta","algodoon",1
"458","camiseta","amaro",1
"459","camiseta","azul",3
"460","camiseta","bien",1
"461","camiseta","blusa",2
"462","camiseta","botoon",1
"463","camiseta","calcetiin",1
"464","camiseta","camisa",8
"465","camiseta","chaqueta",1
"466","camiseta","chico",2
"467","camiseta","cima",1
"468","camiseta","color",1
"469","camiseta","comprar",1
"470","camiseta","coomodo",2
"471","camiseta","corto",1
"472","camiseta","divertido",1
"473","camiseta","falda",1
"474","camiseta","grande",1
"475","camiseta","informal",1
"476","camiseta","jersey",1
"477","camiseta","lavar",1
"478","camiseta","limpiar",1
"479","camiseta","llevar",2
"480","camiseta","manga",1
"481","camiseta","moda",1
"482","camiseta","objeto",1
"483","camiseta","pantaloon",11
"484","camiseta","pascua",1
"485","camiseta","pequenno",1
"486","camiseta","persona",2
"487","camiseta","polera",1
"488","camiseta","poner",1
"489","camiseta","primavera",1
"490","camiseta","raya",1
"491","camiseta","rojo",3
"492","camiseta","romper",1
"493","camiseta","ropa",12
"494","camiseta","rosado",1
"495","camiseta","sol",1
"496","camiseta","sueeter",1
"497","camiseta","taller",1
"498","camiseta","tener",1
"499","camiseta","tienda",1
"500","camiseta","verano",4
"501","camiseta","verde",3
"502","camiseta","vestido",2
"503","camiseta","vestir",1
"504","camiseta","zapato",4
"505","campeonato","aarbol",1
"506","campeonato","atleetico",1
"507","campeonato","bate",1
"508","campeonato","beeisbol",1
"509","campeonato","bien",1
"510","campeonato","bonito",1
"511","campeonato","competencia",1
"512","campeonato","contienda",1
"513","campeonato","copa",1
"514","campeonato","defensa",1
"515","campeonato","deporte",11
"516","campeonato","derecho",1
"517","campeonato","desafiio",1
"518","campeonato","divertido",3
"519","campeonato","dormir",1
"520","campeonato","ejercicio",1
"521","campeonato","entrenador",1
"522","campeonato","equipo",3
"523","campeonato","estadio",1
"524","campeonato","fuego",1
"525","campeonato","fuerte",1
"526","campeonato","fuutbol",7
"527","campeonato","ganador",6
"528","campeonato","ganar",7
"529","campeonato","juego",11
"530","campeonato","jugador",2
"531","campeonato","jugar",3
"532","campeonato","laagrima",1
"533","campeonato","maas suelta",1
"534","campeonato","medalla",1
"535","campeonato","ninno",1
"536","campeonato","partido",6
"537","campeonato","pelota",4
"538","campeonato","perder",1
"539","campeonato","primer lugar",1
"540","campeonato","tierra",1
"541","campeonato","torneo",2
"542","campeonato","trofeo",4
"543","campeonato","ver",1
"544","campeonato","victorioso",1
"545","carne","almorzar",1
"546","carne","animal",3
"547","carne","asado",3
"548","carne","beber",1
"549","carne","bistec",10
"550","carne","burrito",1
"551","carne","camaroon",2
"552","carne","cena",3
"553","carne","cerdo",2
"554","carne","cocinar",2
"555","carne","comer",3
"556","carne","comida",9
"557","carne","cordero",1
"558","carne","estufa",1
"559","carne","filete",4
"560","carne","jamoon",4
"561","carne","langosta",1
"562","carne","lechuga",1
"563","carne","parrilla",1
"564","carne","pavo",2
"565","carne","pescado",3
"566","carne","pez",2
"567","carne","pollo",22
"568","carne","queso",2
"569","carne","res",1
"570","carne","restaurante",1
"571","carne","rojo",1
"572","carne","sangre",1
"573","carne","taco",1
"574","carne","tocino",1
"575","carne","vaca",2
"576","carne","variedad",1
"577","carne","verdura",1
"578","caro","bailar",1
"579","caro","barato",5
"580","caro","billete",1
"581","caro","boca",1
"582","caro","bolso",2
"583","caro","bonito",2
"584","caro","calle",1
"585","caro","carro",3
"586","caro","carta",1
"587","caro","cartera",1
"588","caro","casa",3
"589","caro","coche",3
"590","caro","collar",1
"591","caro","comida",1
"592","caro","comprar",2
"593","caro","creedito",1
"594","caro","descuento",1
"595","caro","dinero",20
"596","caro","disney",1
"597","caro","doolar",1
"598","caro","expensivo",2
"599","caro","faltar",1
"600","caro","gastar",1
"601","caro","grande",1
"602","caro","joyeriia",2
"603","caro","lamborghini",1
"604","caro","mal",1
"605","caro","mansioon",1
"606","caro","mejilla",1
"607","caro","montar",1
"608","caro","mucho",5
"609","caro","muusica",1
"610","caro","nuevo",1
"611","caro","ojo",1
"612","caro","oro",1
"613","caro","plata",1
"614","caro","precio",2
"615","caro","reloj",1
"616","caro","rico",3
"617","caro","ropa",3
"618","caro","tacanno",1
"619","caro","tarjeta",1
"620","caro","tecnologiia",1
"621","caro","tienda",3
"622","caro","universidad",1
"623","caro","vacacioon",1
"624","caro","valor",1
"625","cerveza","adulto",1
"626","cerveza","agua",3
"627","cerveza","alcohol",6
"628","cerveza","amarillo",1
"629","cerveza","amigo",5
"630","cerveza","bar",2
"631","cerveza","beber",15
"632","cerveza","bebida",6
"633","cerveza","bien",1
"634","cerveza","borracho",1
"635","cerveza","carbonatacioon",1
"636","cerveza","caro",1
"637","cerveza","cenar",1
"638","cerveza","chela",1
"639","cerveza","comer",1
"640","cerveza","contento",2
"641","cerveza","corona",1
"642","cerveza","cuchara",1
"643","cerveza","cuchillo",1
"644","cerveza","delicioso",1
"645","cerveza","dulce",1
"646","cerveza","fiesta",9
"647","cerveza","friio",1
"648","cerveza","fruta",1
"649","cerveza","leche",1
"650","cerveza","levadura",1
"651","cerveza","limonada",1
"652","cerveza","mantel",1
"653","cerveza","marroon",1
"654","cerveza","noche",1
"655","cerveza","pan",1
"656","cerveza","pesado",1
"657","cerveza","pizza",1
"658","cerveza","plato",1
"659","cerveza","pub",2
"660","cerveza","refresco",4
"661","cerveza","restaurante",1
"662","cerveza","rojo",1
"663","cerveza","social",1
"664","cerveza","taza",1
"665","cerveza","trago",1
"666","cerveza","universidad",2
"667","cerveza","vacacioon",2
"668","cerveza","veintiuno",1
"669","cerveza","vidrio",1
"670","cerveza","viejo",1
"671","cerveza","vino",3
"672","cocinar","almorzar",1
"673","cocinar","almuerzo",1
"674","cocinar","amigo",1
"675","cocinar","bistec",3
"676","cocinar","caalido",1
"677","cocinar","caliente",2
"678","cocinar","carne",2
"679","cocinar","casa",3
"680","cocinar","cena",7
"681","cocinar","cenar",1
"682","cocinar","cine",1
"683","cocinar","cocina",14
"684","cocinar","comer",2
"685","cocinar","comida",23
"686","cocinar","desayuno",1
"687","cocinar","estufa",1
"688","cocinar","familia",2
"689","cocinar","freiir",1
"690","cocinar","hornear",3
"691","cocinar","horno",2
"692","cocinar","huevo",1
"693","cocinar","ingrediente",1
"694","cocinar","lechuga",1
"695","cocinar","maceta",1
"696","cocinar","madre",1
"697","cocinar","manzana",1
"698","cocinar","mesa",1
"699","cocinar","microondas",2
"700","cocinar","mucho",1
"701","cocinar","parrilla",1
"702","cocinar","pizza",1
"703","cocinar","plato",1
"704","cocinar","pollo",4
"705","cocinar","preparar",1
"706","cocinar","refrigerador",2
"707","cocinar","restaurante",1
"708","cocinar","sal",1
"709","cocinar","sienten",1
"710","cuadro","almohada",1
"711","cuadro","arte",6
"712","cuadro","artista",2
"713","cuadro","bonito",3
"714","cuadro","caamara",2
"715","cuadro","calle",1
"716","cuadro","cama",3
"717","cuadro","cepillo",1
"718","cuadro","cinco",1
"719","cuadro","color",6
"720","cuadro","creativo",1
"721","cuadro","cuadrado",1
"722","cuadro","cuatro",2
"723","cuadro","decoracioon",1
"724","cuadro","dibujar",1
"725","cuadro","divertido",1
"726","cuadro","dormir",1
"727","cuadro","dormitorio",2
"728","cuadro","dos",1
"729","cuadro","escuela",1
"730","cuadro","estampa",1
"731","cuadro","familia",2
"732","cuadro","flor",1
"733","cuadro","foto",1
"734","cuadro","fotografiar",1
"735","cuadro","fotografiia",2
"736","cuadro","graafico",1
"737","cuadro","habitacioon",1
"738","cuadro","hermoso",1
"739","cuadro","imagen",2
"740","cuadro","laapiz",1
"741","cuadro","madre",1
"742","cuadro","marco",1
"743","cuadro","memoria",2
"744","cuadro","mesa",1
"745","cuadro","mural",1
"746","cuadro","papel",2
