ProlificID,Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,AssociateNumber,Orig_Response,Response,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
5fc1585fa55c1a07e7925ccf,sp125,Male,20,Yes,"English, spanish","English, spanish","English, spanish","English, spanish",Yes,high school,the required amount for graduation,Yes,Yes,"United States, i live there now",agua,1,potable,potable,adjective,,,,A,r2_sp_a1,water,Span
5dc1a1d0a4b6ac1091f0f4c2,sp126,Male,22,Yes,English and Spanish,Spanish,English,English,Yes,school,18 years,Yes,Yes,I was born in the USA,agua,1,liquido,liquido,unclear,,,,A,r2_sp_a1,water,Span
60b0cb3929bced862ad31050,sp127,Female,32,Yes,"English, Spanish, French","Spanish, English","English, Spanish","English, Spanish, French",No,,,Yes,Yes,United States; I have lived here since I was 2 so 30 years,agua,1,sed,sed,noun,,,,A,r2_sp_a1,water,Span
60108aec80f7d93e97a38612,sp129,Female,22,Yes,"Spanish, English", Spanish,Spanish,Spanish,No,,,No,No,,agua,1,hidratacion,hidratacion,noun,,,,A,r2_sp_a1,water,Span
5ea511caa6974a4e8de26ac1,sp130,Female,33,Yes,"english, Spanish, French ",Spanish,"Spanish, english","Spanish, english",Yes,all through school,12,Yes,Yes,US,agua,1,tomar,tomar,verb,,,,A,r2_sp_a1,water,Span
5f1f31186ba46a0e2ab2cfcb,sp131,Female,23,Yes,english and spanish,spanish and english,spanish and english,spanish and english,Yes,high school,4 years,Yes,No,,agua,1,oceano,oceano,noun,,,,A,r2_sp_a1,water,Span
5f5ea8227fa75676f56f9276,sp132,Male,18,Yes,"English, Spanish",Spanish,English and Spanish,English and Spanish ,Yes,middle school and high school ,7,Yes,No,,agua,1,Sed,sed,noun,,,,A,r2_sp_a1,water,Span
5d26aaf4665b0a00174b8f03,sp133,Male,25,Yes,English Spanish,2,,,Yes,high school,8,Yes,Yes,Canada 6 months,agua,1,refresco,refresco,noun,,,,A,r2_sp_a1,water,Span
6019cd94485c3e19556b7428,sp134,Female,21,Yes,spanish and english,spanish,english,english,No,,,Yes,No,,agua,1,nadar,nadar,verb,,,,A,r2_sp_a1,water,Span
5f1275800e769c1da9afd1b3,sp135,Female,20,Yes,"English, Spanish",spanish,"English, Spanish","English, Spanish",No,,,No,No,,agua,1,fresca,fresco,adjective,,,,A,r2_sp_a1,water,Span
