"","source","target","weight"
"215","aspiradora","ruidoso",4
"216","aspiradora","salud",1
"217","aspiradora","succioon",1
"218","aspiradora","suciedad",1
"219","aspiradora","sucio",8
"220","aspiradora","suelo",1
"221","aspiradora","sueno",1
"222","aspiradora","tierra",5
"223","aspiradora","trabajo",2
"224","aspiradora","trapeador",1
"225","aspiradora","trapear",1
"226","aspiradora","trapo",1
"227","aspiradora","ventilador",1
"228","avioon","aeropuerto",7
"229","avioon","aire",9
"230","avioon","ala",3
"231","avioon","altitud",1
"232","avioon","alto",2
"233","avioon","altura",1
"234","avioon","animal",1
"235","avioon","asiento",2
"236","avioon","autobuus",1
"237","avioon","aventura",1
"238","avioon","azul",1
"239","avioon","billete",1
"240","avioon","cacahuete",1
"241","avioon","chicle",1
"242","avioon","cielo",15
"243","avioon","claro",1
"244","avioon","claustrofoobico",1
"245","avioon","conductor",1
"246","avioon","dinero",1
"247","avioon","dormir",1
"248","avioon","equipaje",1
"249","avioon","familia",1
"250","avioon","fiisica",1
"251","avioon","gasolina",1
"252","avioon","grande",3
"253","avioon","ingenieriia",1
"254","avioon","jet",1
"255","avioon","lleno",1
"256","avioon","lugar",1
"257","avioon","maleta",2
"258","avioon","metal",1
"259","avioon","mundo",1
"260","avioon","noche",1
"261","avioon","nube",4
"262","avioon","paajaro",1
"263","avioon","paiis",5
"264","avioon","pasaje",1
"265","avioon","pasajero",1
"266","avioon","pasaporte",2
"267","avioon","peligroso",2
"268","avioon","planear",1
"269","avioon","plano",1
"270","avioon","raapido",1
"271","avioon","ruido",2
"272","avioon","sol",2
"273","avioon","tiempo",1
"274","avioon","transporte",1
"275","avioon","vacacioon",5
"276","avioon","viajar",8
"277","avioon","viaje",9
"278","avioon","volar",18
"279","avioon","vuelo",3
"280","barato","accesible",2
"281","barato","agua",1
"282","barato","ahorrar",1
"283","barato","ahorrativo",2
"284","barato","ahorro",1
"285","barato","alcanzable",1
"286","barato","asequible",1
"287","barato","azul",1
"288","barato","bajo",1
"289","barato","bate",1
"290","barato","bolsa",1
"291","barato","bonito",2
"292","barato","bueniisimo",1
"293","barato","bueno",4
"294","barato","calidad",1
"295","barato","cambio",1
"296","barato","camisa",1
"297","barato","caramelo",1
"298","barato","caro",13
"299","barato","carro",1
"300","barato","chafo",1
"301","barato","comercial",1
"302","barato","comida",1
"303","barato","compra",7
"304","barato","comprar",4
"305","barato","contento",1
"306","barato","descuento",2
"307","barato","dinero",16
"308","barato","doolar",3
"309","barato","econoomico",4
"310","barato","endeble",1
"311","barato","especial",1
"312","barato","faacil",1
"313","barato","felicidad",2
"314","barato","fruta",1
"315","barato","ganga",3
"316","barato","gastar",1
"317","barato","gratis",2
"318","barato","guardar",1
"319","barato","limpiar",1
"320","barato","lujo",1
"321","barato","mayoreo",1
"322","barato","mejor",1
"323","barato","menor",1
"324","barato","mercado",1
"325","barato","moneda",1
"326","barato","moodico",1
"327","barato","negocio",1
"328","barato","objeto",1
"329","barato","oferta",2
"330","barato","paleta",1
"331","barato","papel",1
"332","barato","plaastico",1
"333","barato","poco",2
"334","barato","precio",3
"335","barato","producto",2
"336","barato","pulga",1
"337","barato","querer",1
"338","barato","ropa",4
"339","barato","salvacioon",1
"340","barato","simplemente",1
"341","barato","soda",1
"342","barato","suerte",1
"343","barato","suficiente",1
"344","barato","supermercado",1
"345","barato","tienda",10
"346","barato","usado",1
"347","barato","vender",1
"348","barato","venta",3
"349","barato","walmart",1
"350","barato","zapato",1
"351","barrer","adulto",1
"352","barrer","afuera",1
"353","barrer","arreglar",1
"354","barrer","aspirar",1
"355","barrer","bailar",1
"356","barrer","basura",2
"357","barrer","borracho",1
"358","barrer","bruja",1
"359","barrer","bueno",1
"360","barrer","carpeta",1
"361","barrer","casa",5
"362","barrer","cepillar",1
"363","barrer","cerveza",1
