Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp200,Male,24,Yes,"English, Spanish",spanish,spnaish,spanish,No,,,Yes,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp201,Female,22,Yes,English and Spanish,Spanish,Spanish,English,Yes,Preschool,10,Yes,Yes,England for a month,fresco,fresco,1,nuevo,nuevo,nuevo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp202,Female,29,Yes,"english, spanish",spanish,english,english,No,,,Yes,No,,fresco,fresco,1,hielo,hielo,hielo,noun,,,,Unique,r3_sp_1,fresh,Span
sp203,Male,18,Yes,"spanish, english",Spanish,"Spanish, English","Spanish, English",No,,,Yes,No,,fresco,fresco,1,soda,soda,soda,noun,,,,Unique,r3_sp_1,fresh,Span
sp204,Male,31,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,Elementary and High School,4,Yes,Yes,"United States, 31 years",fresco,fresco,1,horchata,horchata,horchata,noun,,,,Unique,r3_sp_1,fresh,Span
sp205,Male,19,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Kindergarten,12,No,No,,fresco,fresco,1,Tacos,taco,taco,noun,,,,Unique,r3_sp_1,fresh,Span
sp206,Female,26,Yes,"spanish, english",spanish,english/ spanish,english,No,,,Yes,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp207,Male,22,Yes,"Spanish, English",Spanish ,Spanish,Spanish ,Yes,High School,4,Yes,Yes,"United States, 8 years",fresco,fresco,1,Pintura,pintura,pintura,noun,,,,Unique,r3_sp_1,fresh,Span
sp208,Male,27,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",Yes,"Elementary, Middle school, high school, college",16,No,No,,fresco,fresco,1,Aire,aire,aire,noun,,,,Unique,r3_sp_1,fresh,Span
sp209,Female,31,Yes,"Spanish, English, Protuguese",Spanish/Portuguese,English,,Yes,High school,4 years,No,Yes,Lived in Mexico in Portugal for 6 years each,fresco,fresco,1,agusto,gusto,gusto,noun,,,,Unique,r3_sp_1,fresh,Span
