Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,word_lemma,AssociateNumber,Orig_Response,Response,Response_lemma,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
sp210,Male,20,Yes,English Spanish,Spanish,Spanish/English,Spanish/English,Yes,Since elementary,15 years,No,No,,fresco,fresco,1,brisa,brisa,brisa,noun,,,,Unique,r3_sp_1,fresh,Span
sp212,Male,28,Yes,"English, Spanish",Spanish and English,Spanish and English,Spanish and English,Yes,Since Kindergarten all the way to College.,20 years,Yes,No,,fresco,fresco,1,suave,suave,suave,adjective,,,,Unique,r3_sp_1,fresh,Span
sp213,Male,21,Yes,English and Spanish,Spanish,"English, Spanish","English, Spanish",No,,,Yes,Yes,"USA, I live here",fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp214,Male,32,Yes,Spanish & English,Spanish,Spanish,Spanish,Yes,Highschool and College,5,No,No,,fresco,fresco,1,aire,aire,aire,noun,,,,Unique,r3_sp_1,fresh,Span
sp215,Female,26,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,No,,,Yes,Yes,Canada for 8 days,fresco,fresco,1,Parque,parque,parque,noun,,,,Unique,r3_sp_1,fresh,Span
sp216,Female,28,Yes,"Spanish, english, guarani ",Spanish & Guarani,"Spanish, guarani & english","Spanish, guarani & english",Yes,Elementary school,1 year,Yes,No,,fresco,fresco,1,Fruta,fruta,fruta,noun,,,,Unique,r3_sp_1,fresh,Span
sp217,Female,27,Yes,"English, Spanish",English/Spanish,English/Spanish,English/Spanish,No,,,Yes,No,,fresco,fresco,1,Ordenada,ordenado,ordenado,adjective,,,,Unique,r3_sp_1,fresh,Span
sp218,Male,20,Yes,English and Spanish,Spanish,spanish/english ,spanish/english,No,,,No,No,,fresco,fresco,1,Frutas,fruta,fruta,noun,,,,Unique,r3_sp_1,fresh,Span
sp219,Male,21,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,High School,For the duration of elementary to high school.,Yes,No,,fresco,fresco,1,jugo,jugo,jugo,noun,,,,Unique,r3_sp_1,fresh,Span
sp220,Male,26,Yes,spanish and english,spanish,spanish/english,spanish,No,,,Yes,No,,fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp221,Female,20,Yes,"Spanish, English, Japanese, Korean, Chinese",Spanish,Spanish,"Spanish, English",Yes,high school and college,7 years,No,Yes,United states for 3 years,fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp222,Female,22,Yes,"English, Spanish",Spanish,Spanish/English,Spanish/English,Yes,"Elementary, middle school, high school, college",17 years,Yes,Yes,"U.S.A, 17 years",fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp223,Male,28,Yes,"english, spanish",2,2,2,No,,,Yes,No,,fresco,fresco,1,viento,viento,viento,noun,,,,Unique,r3_sp_1,fresh,Span
sp224,Female,19,Yes,spanish and english,spanish,spanish,spanish,No,,,No,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp225,Male,22,Yes,English and Spanish ,Spanish ,Spanish and English ,Spanish and English ,Yes,All through school,13,Yes,Yes,I live in America and have travelled from La to Missouri ,fresco,fresco,1,Queso ,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp226,Female,22,Yes,"English, Spanish",Spanish,"English,Spanish","English, Spanish",Yes,High School,4,No,No,,fresco,fresco,1,lavado,lavado,lavado,adjective,,,,Unique,r3_sp_1,fresh,Span
sp227,Female,19,Yes,Spanish and English ,Spanish ,Both ,Both ,Yes,High school ,4,No,No,,fresco,fresco,1,Afuera ,afuera,afuera,adverb,,,,Unique,r3_sp_1,fresh,Span
sp228,Female,28,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Pre-kindergarten,1 year,No,No,,fresco,fresco,1,Abanico,abanico,abanico,noun,,,,Unique,r3_sp_1,fresh,Span
sp229,Female,25,Yes,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,No,No,,fresco,fresco,1,Frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp230,Female,20,Yes,Spanish and english,Spanish and English ,English,English,No,,,Yes,Yes,"America, I currently live here ",fresco,fresco,1,Atractivo,atractivo,atractivo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp231,Male,20,Yes,English and Spanish,Spanish,Spanish,Spanish,No,,,No,Yes,I live here,fresco,fresco,1,Suave,suave,suave,adjective,,,,Unique,r3_sp_1,fresh,Span
sp232,Female,18,Yes,Spanish and English,Spanish and English,Spanish,Spanish and English,Yes,Elementary through High School,10,Yes,No,,fresco,fresco,1,hielo,hielo,hielo,noun,,,,Unique,r3_sp_1,fresh,Span
sp233,Male,24,Yes,"English, Spanish",Spanish,English,English,Yes,Elementary,19 years,Yes,Yes,24 years,fresco,fresco,1,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp234,Female,18,Yes,"English, Spanish",Spanish,"English, Spanish","English, Spanish",No,,,Yes,Yes,"US, 18 years",fresco,fresco,1,aire,aire,aire,noun,,,,Unique,r3_sp_1,fresh,Span
sp235,Female,25,Yes,English and Spanish ,Spanish,Spanish,English and Spanish ,Yes,Elementary school,4 years ,Yes,Yes,U.S. I was born there ,fresco,fresco,1,Lugar,lugar,lugar,noun,,,,Unique,r3_sp_1,fresh,Span
sp236,Female,28,Yes,"English, Spanish ",Spanish ,"Spanish, English ",English ,Yes,Elementary school ,2,Yes,Yes,Scotland for four months ,fresco,fresco,1,Primavera,primavera,primavera,noun,,,,Unique,r3_sp_1,fresh,Span
sp237,Male,33,Yes,"english, spanish",spanish,english,english,Yes,"high school, college",2,Yes,Yes,The United Kingdom,fresco,fresco,1,comida,comida,comida,noun,,,,Unique,r3_sp_1,fresh,Span
sp238,Female,20,Yes,English and Spanish,Spanish,Spanish and English,Spanish and English,Yes,high school and college,all of high school and two semesters in college,Yes,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp239,Male,22,Yes,"Spanish, English, Japanese",Spanish,Spanish,Spanish,No,,,No,Yes,"United States, 5 years",fresco,fresco,1,dulce,dulce,dulce,unclear,,,,Unique,r3_sp_1,fresh,Span
sp240,Male,20,Yes,English and Spanish,spanish,spanish,spanish and english,Yes,"school grades 1-12, college",13,No,No,,fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp241,Female,31,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,K-12 and freshman year of college,14,Yes,No,,fresco,fresco,1,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp242,Female,25,Yes,Spanish and English ,Spanish ,Spanish and English ,Spanish and English ,Yes,Elementary-college,4,No,No,,fresco,fresco,1,Frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp243,Male,22,Yes,"Spanish, English",Spanish,"Spanish, English","Spanish, English",Yes,Elementary school through high school,12 years,No,No,,fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp244,Male,26,Yes,English and Spanish,2,2,2,No,,,Yes,No,,fresco,fresco,1,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp245,Female,19,Yes,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,Yes,No,,fresco,fresco,1,frío,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp246,Female,21,Yes,"english, spanish",spanish,"english, spanish ","english, spanish",Yes,"high school college-level classes, actual college classes ",around 6,Yes,No,,fresco,fresco,1,fresno ,fresno,fresno,noun,,,,Unique,r3_sp_1,fresh,Span
sp247,Female,19,Yes,"Spanish, English, German",Spanish,Spanish,Spanish,Yes,Highschool,4,Yes,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp248,Male,19,Yes,spanish and english,spanish,spanish,spanish,Yes,every year of school,15 years,Yes,No,,fresco,fresco,1,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp249,Female,27,Yes,Spanish and English,Spanish,English,English,No,,,No,No,,fresco,fresco,1,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp200,Male,24,Yes,"English, Spanish",spanish,spnaish,spanish,No,,,Yes,No,,fresco,fresco,2,piscina,piscina,piscina,noun,,,,Unique,r3_sp_1,fresh,Span
sp201,Female,22,Yes,English and Spanish,Spanish,Spanish,English,Yes,Preschool,10,Yes,Yes,England for a month,fresco,fresco,2,frutas,fruta,fruta,noun,,,,Unique,r3_sp_1,fresh,Span
sp202,Female,29,Yes,"english, spanish",spanish,english,english,No,,,Yes,No,,fresco,fresco,2,fruta,fruta,fruta,noun,,,,Unique,r3_sp_1,fresh,Span
sp203,Male,18,Yes,"spanish, english",Spanish,"Spanish, English","Spanish, English",No,,,Yes,No,,fresco,fresco,2,jugo,jugo,jugo,noun,,,,Unique,r3_sp_1,fresh,Span
sp204,Male,31,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,Elementary and High School,4,Yes,Yes,"United States, 31 years",fresco,fresco,2,jamaica,jamaica,jamaica,noun,,,,Unique,r3_sp_1,fresh,Span
sp205,Male,19,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Kindergarten,12,No,No,,fresco,fresco,2,Ensalada,ensalada,ensalada,noun,,,,Unique,r3_sp_1,fresh,Span
sp206,Female,26,Yes,"spanish, english",spanish,english/ spanish,english,No,,,Yes,No,,fresco,fresco,2,aire,aire,aire,noun,,,,Unique,r3_sp_1,fresh,Span
sp207,Male,22,Yes,"Spanish, English",Spanish ,Spanish,Spanish ,Yes,High School,4,Yes,Yes,"United States, 8 years",fresco,fresco,2,Comida,comida,comida,noun,,,,Unique,r3_sp_1,fresh,Span
sp208,Male,27,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",Yes,"Elementary, Middle school, high school, college",16,No,No,,fresco,fresco,2,Frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp209,Female,31,Yes,"Spanish, English, Protuguese",Spanish/Portuguese,English,,Yes,High school,4 years,No,Yes,Lived in Mexico in Portugal for 6 years each,fresco,fresco,2,helado,helado,helado,unclear,,,,Unique,r3_sp_1,fresh,Span
sp210,Male,20,Yes,English Spanish,Spanish,Spanish/English,Spanish/English,Yes,Since elementary,15 years,No,No,,fresco,fresco,2,refrescante,refrescante,refrescante,adjective,,,,Unique,r3_sp_1,fresh,Span
sp212,Male,28,Yes,"English, Spanish",Spanish and English,Spanish and English,Spanish and English,Yes,Since Kindergarten all the way to College.,20 years,Yes,No,,fresco,fresco,2,delicioso,delicioso,delicioso,adjective,,,,Unique,r3_sp_1,fresh,Span
sp213,Male,21,Yes,English and Spanish,Spanish,"English, Spanish","English, Spanish",No,,,Yes,Yes,"USA, I live here",fresco,fresco,2,nuevo,nuevo,nuevo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp214,Male,32,Yes,Spanish & English,Spanish,Spanish,Spanish,Yes,Highschool and College,5,No,No,,fresco,fresco,2,caliente,caliente,caliente,adjective,,,,Unique,r3_sp_1,fresh,Span
sp215,Female,26,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,No,,,Yes,Yes,Canada for 8 days,fresco,fresco,2,Picnic,picnic,picnic,noun,,,,Unique,r3_sp_1,fresh,Span
sp216,Female,28,Yes,"Spanish, english, guarani ",Spanish & Guarani,"Spanish, guarani & english","Spanish, guarani & english",Yes,Elementary school,1 year,Yes,No,,fresco,fresco,2,Limpo,limpio,limpio,adjective,,,,Unique,r3_sp_1,fresh,Span
sp217,Female,27,Yes,"English, Spanish",English/Spanish,English/Spanish,English/Spanish,No,,,Yes,No,,fresco,fresco,2,enfriar,enfriar,enfriar,verb,,,,Unique,r3_sp_1,fresh,Span
sp218,Male,20,Yes,English and Spanish,Spanish,spanish/english ,spanish/english,No,,,No,No,,fresco,fresco,2,viento,viento,viento,noun,,,,Unique,r3_sp_1,fresh,Span
sp219,Male,21,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,High School,For the duration of elementary to high school.,Yes,No,,fresco,fresco,2,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp220,Male,26,Yes,spanish and english,spanish,spanish/english,spanish,No,,,Yes,No,,fresco,fresco,2,caliente,caliente,caliente,adjective,,,,Unique,r3_sp_1,fresh,Span
sp221,Female,20,Yes,"Spanish, English, Japanese, Korean, Chinese",Spanish,Spanish,"Spanish, English",Yes,high school and college,7 years,No,Yes,United states for 3 years,fresco,fresco,2,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp222,Female,22,Yes,"English, Spanish",Spanish,Spanish/English,Spanish/English,Yes,"Elementary, middle school, high school, college",17 years,Yes,Yes,"U.S.A, 17 years",fresco,fresco,2,gotas,gota,gota,noun,,,,Unique,r3_sp_1,fresh,Span
sp223,Male,28,Yes,"english, spanish",2,2,2,No,,,Yes,No,,fresco,fresco,2,patio,patio,patio,noun,,,,Unique,r3_sp_1,fresh,Span
sp224,Female,19,Yes,spanish and english,spanish,spanish,spanish,No,,,No,No,,fresco,fresco,2,sandia,sandia,sandiia,noun,,,,Unique,r3_sp_1,fresh,Span
sp225,Male,22,Yes,English and Spanish ,Spanish ,Spanish and English ,Spanish and English ,Yes,All through school,13,Yes,Yes,I live in America and have travelled from La to Missouri ,fresco,fresco,2,Agua ,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp226,Female,22,Yes,"English, Spanish",Spanish,"English,Spanish","English, Spanish",Yes,High School,4,No,No,,fresco,fresco,2,limpio ,limpio,limpio,adjective,,,,Unique,r3_sp_1,fresh,Span
sp227,Female,19,Yes,Spanish and English ,Spanish ,Both ,Both ,Yes,High school ,4,No,No,,fresco,fresco,2,Fruta,fruta,fruta,noun,,,,Unique,r3_sp_1,fresh,Span
sp228,Female,28,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Pre-kindergarten,1 year,No,No,,fresco,fresco,2,Hielo,hielo,hielo,noun,,,,Unique,r3_sp_1,fresh,Span
sp229,Female,25,Yes,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,No,No,,fresco,fresco,2,Afuera,afuera,afuera,adverb,,,,Unique,r3_sp_1,fresh,Span
sp230,Female,20,Yes,Spanish and english,Spanish and English ,English,English,No,,,Yes,Yes,"America, I currently live here ",fresco,fresco,2,Sereno,sereno,sereno,adjective,,,,Unique,r3_sp_1,fresh,Span
sp231,Male,20,Yes,English and Spanish,Spanish,Spanish,Spanish,No,,,No,Yes,I live here,fresco,fresco,2,Arbol,arbol,aarbol,noun,,,,Unique,r3_sp_1,fresh,Span
sp232,Female,18,Yes,Spanish and English,Spanish and English,Spanish,Spanish and English,Yes,Elementary through High School,10,Yes,No,,fresco,fresco,2,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp233,Male,24,Yes,"English, Spanish",Spanish,English,English,Yes,Elementary,19 years,Yes,Yes,24 years,fresco,fresco,2,neuvo,nuevo,nuevo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp234,Female,18,Yes,"English, Spanish",Spanish,"English, Spanish","English, Spanish",No,,,Yes,Yes,"US, 18 years",fresco,fresco,2,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp235,Female,25,Yes,English and Spanish ,Spanish,Spanish,English and Spanish ,Yes,Elementary school,4 years ,Yes,Yes,U.S. I was born there ,fresco,fresco,2,Mango,mango,mango,noun,,,,Unique,r3_sp_1,fresh,Span
sp236,Female,28,Yes,"English, Spanish ",Spanish ,"Spanish, English ",English ,Yes,Elementary school ,2,Yes,Yes,Scotland for four months ,fresco,fresco,2,Jugo,jugo,jugo,noun,,,,Unique,r3_sp_1,fresh,Span
sp237,Male,33,Yes,"english, spanish",spanish,english,english,Yes,"high school, college",2,Yes,Yes,The United Kingdom,fresco,fresco,2,carne,carne,carne,noun,,,,Unique,r3_sp_1,fresh,Span
sp238,Female,20,Yes,English and Spanish,Spanish,Spanish and English,Spanish and English,Yes,high school and college,all of high school and two semesters in college,Yes,No,,fresco,fresco,2,fiesta,fiesta,fiesta,noun,,,,Unique,r3_sp_1,fresh,Span
sp239,Male,22,Yes,"Spanish, English, Japanese",Spanish,Spanish,Spanish,No,,,No,Yes,"United States, 5 years",fresco,fresco,2,lindo,lindo,lindo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp240,Male,20,Yes,English and Spanish,spanish,spanish,spanish and english,Yes,"school grades 1-12, college",13,No,No,,fresco,fresco,2,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp241,Female,31,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,Yes,K-12 and freshman year of college,14,Yes,No,,fresco,fresco,2,playa,playa,playa,noun,,,,Unique,r3_sp_1,fresh,Span
sp242,Female,25,Yes,Spanish and English ,Spanish ,Spanish and English ,Spanish and English ,Yes,Elementary-college,4,No,No,,fresco,fresco,2,Agradable ,agradable,agradable,adjective,,,,Unique,r3_sp_1,fresh,Span
sp243,Male,22,Yes,"Spanish, English",Spanish,"Spanish, English","Spanish, English",Yes,Elementary school through high school,12 years,No,No,,fresco,fresco,2,tranquilo,tranquilo,tranquilo,adjective,,,,Unique,r3_sp_1,fresh,Span
sp244,Male,26,Yes,English and Spanish,2,2,2,No,,,Yes,No,,fresco,fresco,2,verduras,verdura,verdura,noun,,,,Unique,r3_sp_1,fresh,Span
sp245,Female,19,Yes,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,Yes,No,,fresco,fresco,2,invierno,invierno,invierno,noun,,,,Unique,r3_sp_1,fresh,Span
sp246,Female,21,Yes,"english, spanish",spanish,"english, spanish ","english, spanish",Yes,"high school college-level classes, actual college classes ",around 6,Yes,No,,fresco,fresco,2,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp247,Female,19,Yes,"Spanish, English, German",Spanish,Spanish,Spanish,Yes,Highschool,4,Yes,No,,fresco,fresco,2,frillo,frillo,frillo,unclear,,,??,Unique,r3_sp_1,fresh,Span
sp248,Male,19,Yes,spanish and english,spanish,spanish,spanish,Yes,every year of school,15 years,Yes,No,,fresco,fresco,2,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp249,Female,27,Yes,Spanish and English,Spanish,English,English,No,,,No,No,,fresco,fresco,2,jugo,jugo,jugo,noun,,,,Unique,r3_sp_1,fresh,Span
sp200,Male,24,Yes,"English, Spanish",spanish,spnaish,spanish,No,,,Yes,No,,fresco,fresco,3,noche,noche,noche,noun,,,,Unique,r3_sp_1,fresh,Span
sp201,Female,22,Yes,English and Spanish,Spanish,Spanish,English,Yes,Preschool,10,Yes,Yes,England for a month,fresco,fresco,3,saludable,saludable,saludable,adjective,,,,Unique,r3_sp_1,fresh,Span
sp202,Female,29,Yes,"english, spanish",spanish,english,english,No,,,Yes,No,,fresco,fresco,3,agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp203,Male,18,Yes,"spanish, english",Spanish,"Spanish, English","Spanish, English",No,,,Yes,No,,fresco,fresco,3,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp204,Male,31,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,Elementary and High School,4,Yes,Yes,"United States, 31 years",fresco,fresco,3,mamay,mamey,mamey,noun,,,,Unique,r3_sp_1,fresh,Span
sp205,Male,19,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Kindergarten,12,No,No,,fresco,fresco,3,Agua,agua,agua,noun,,,,Unique,r3_sp_1,fresh,Span
sp206,Female,26,Yes,"spanish, english",spanish,english/ spanish,english,No,,,Yes,No,,fresco,fresco,3,refresco,refresco,refresco,noun,,,,Unique,r3_sp_1,fresh,Span
sp207,Male,22,Yes,"Spanish, English",Spanish ,Spanish,Spanish ,Yes,High School,4,Yes,Yes,"United States, 8 years",fresco,fresco,3,Pan,pan,pan,noun,,,,Unique,r3_sp_1,fresh,Span
sp208,Male,27,Yes,"English, Spanish","Spanish, English","Spanish, English","Spanish, English",Yes,"Elementary, Middle school, high school, college",16,No,No,,fresco,fresco,3,Invierno,invierno,invierno,noun,,,,Unique,r3_sp_1,fresh,Span
sp209,Female,31,Yes,"Spanish, English, Protuguese",Spanish/Portuguese,English,,Yes,High school,4 years,No,Yes,Lived in Mexico in Portugal for 6 years each,fresco,fresco,3,recien banado ,banado,bannado,adjective,,,,Unique,r3_sp_1,fresh,Span
sp210,Male,20,Yes,English Spanish,Spanish,Spanish/English,Spanish/English,Yes,Since elementary,15 years,No,No,,fresco,fresco,3,azul,azul,azul,adjective,,,,Unique,r3_sp_1,fresh,Span
sp212,Male,28,Yes,"English, Spanish",Spanish and English,Spanish and English,Spanish and English,Yes,Since Kindergarten all the way to College.,20 years,Yes,No,,fresco,fresco,3,queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp213,Male,21,Yes,English and Spanish,Spanish,"English, Spanish","English, Spanish",No,,,Yes,Yes,"USA, I live here",fresco,fresco,3,escarcha,escarcha,escarcha,noun,,,,Unique,r3_sp_1,fresh,Span
sp214,Male,32,Yes,Spanish & English,Spanish,Spanish,Spanish,Yes,Highschool and College,5,No,No,,fresco,fresco,3,frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp215,Female,26,Yes,English and Spanish,English and Spanish,English and Spanish,English and Spanish,No,,,Yes,Yes,Canada for 8 days,fresco,fresco,3,Queso,queso,queso,noun,,,,Unique,r3_sp_1,fresh,Span
sp216,Female,28,Yes,"Spanish, english, guarani ",Spanish & Guarani,"Spanish, guarani & english","Spanish, guarani & english",Yes,Elementary school,1 year,Yes,No,,fresco,fresco,3,Dulce,dulce,dulce,unclear,,,,Unique,r3_sp_1,fresh,Span
sp217,Female,27,Yes,"English, Spanish",English/Spanish,English/Spanish,English/Spanish,No,,,Yes,No,,fresco,fresco,3,fría,frio,friio,adjective,,,,Unique,r3_sp_1,fresh,Span
sp218,Male,20,Yes,English and Spanish,Spanish,spanish/english ,spanish/english,No,,,No,No,,fresco,fresco,3,refresco,refresco,refresco,noun,,,,Unique,r3_sp_1,fresh,Span
sp219,Male,21,Yes,"English, Spanish","English, Spanish","English, Spanish","English, Spanish",Yes,High School,For the duration of elementary to high school.,Yes,No,,fresco,fresco,3,refrescante,refrescante,refrescante,adjective,,,,Unique,r3_sp_1,fresh,Span
sp220,Male,26,Yes,spanish and english,spanish,spanish/english,spanish,No,,,Yes,No,,fresco,fresco,3,aire,aire,aire,noun,,,,Unique,r3_sp_1,fresh,Span
sp221,Female,20,Yes,"Spanish, English, Japanese, Korean, Chinese",Spanish,Spanish,"Spanish, English",Yes,high school and college,7 years,No,Yes,United states for 3 years,fresco,fresco,3,viento,viento,viento,noun,,,,Unique,r3_sp_1,fresh,Span
sp222,Female,22,Yes,"English, Spanish",Spanish,Spanish/English,Spanish/English,Yes,"Elementary, middle school, high school, college",17 years,Yes,Yes,"U.S.A, 17 years",fresco,fresco,3,refrescante,refrescante,refrescante,adjective,,,,Unique,r3_sp_1,fresh,Span
sp223,Male,28,Yes,"english, spanish",2,2,2,No,,,Yes,No,,fresco,fresco,3,mar,mar,mar,noun,,,,Unique,r3_sp_1,fresh,Span
sp224,Female,19,Yes,spanish and english,spanish,spanish,spanish,No,,,No,No,,fresco,fresco,3,playa,playa,playa,noun,,,,Unique,r3_sp_1,fresh,Span
sp225,Male,22,Yes,English and Spanish ,Spanish ,Spanish and English ,Spanish and English ,Yes,All through school,13,Yes,Yes,I live in America and have travelled from La to Missouri ,fresco,fresco,3,Comida ,comida,comida,noun,,,,Unique,r3_sp_1,fresh,Span
sp226,Female,22,Yes,"English, Spanish",Spanish,"English,Spanish","English, Spanish",Yes,High School,4,No,No,,fresco,fresco,3,chica,chica,chica,noun,,,,Unique,r3_sp_1,fresh,Span
sp227,Female,19,Yes,Spanish and English ,Spanish ,Both ,Both ,Yes,High school ,4,No,No,,fresco,fresco,3,Frío ,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp228,Female,28,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,Pre-kindergarten,1 year,No,No,,fresco,fresco,3,Pintura,pintura,pintura,noun,,,,Unique,r3_sp_1,fresh,Span
sp229,Female,25,Yes,Spanish and English,Spanish,Spanish and English,Spanish and English,No,,,No,No,,fresco,fresco,3,Agua de melon,melon,meloon,noun,,,,Unique,r3_sp_1,fresh,Span
sp230,Female,20,Yes,Spanish and english,Spanish and English ,English,English,No,,,Yes,Yes,"America, I currently live here ",fresco,fresco,3,Frio,frio,friio,unclear,,,,Unique,r3_sp_1,fresh,Span
sp231,Male,20,Yes,English and Spanish,Spanish,Spanish,Spanish,No,,,No,Yes,I live here,fresco,fresco,3,Arboles,arbol,aarbol,noun,,,,Unique,r3_sp_1,fresh,Span
sp232,Female,18,Yes,Spanish and English,Spanish and English,Spanish,Spanish and English,Yes,Elementary through High School,10,Yes,No,,fresco,fresco,3,bebida,bebida,bebida,noun,,,,Unique,r3_sp_1,fresh,Span
